Crop,Actual Rainfall (mm),Predicted Rainfall (mm),Difference (mm)
chickpea,94.04,81.18,12.86
maize,109.22,82.27,26.94
coconut,204.96,171.37,33.59
pomegranate,103.2,107.55,-4.35
rice,243.51,205.73,37.78
pigeonpeas,153.25,172.23,-18.98
grapes,69.28,69.36,-0.08
blackgram,74.92,68.17,6.75
coconut,141.32,157.94,-16.62
chickpea,65.11,84.63,-19.52
blackgram,65.45,65.16,0.29
coconut,194.9,208.83,-13.93
maize,87.93,80.51,7.42
banana,100.66,103.4,-2.74
mothbeans,32.77,55.92,-23.15
banana,105.08,104.01,1.07
kidneybeans,62.21,83.61,-21.4
pomegranate,109.39,109.43,-0.04
chickpea,77.93,77.64,0.29
coconut,162.84,156.39,6.45
orange,111.78,113.64,-1.86
pigeonpeas,127.78,168.24,-40.46
banana,110.33,104.56,5.77
banana,103.5,105.12,-1.61
apple,114.74,110.33,4.41
kidneybeans,61.14,119.67,-58.53
muskmelon,26.04,25.69,0.35
mungbean,43.14,43.45,-0.31
mothbeans,70.8,55.92,14.87
coconut,212.87,162.91,49.96
maize,107.49,95.63,11.86
apple,114.05,111.33,2.72
coconut,214.41,193.18,21.24
kidneybeans,107.73,102.44,5.29
mothbeans,72.19,50.46,21.74
mungbean,44.64,43.05,1.59
lentil,35.37,43.73,-8.36
watermelon,44.08,53.64,-9.56
mungbean,42.02,48.2,-6.18
pigeonpeas,108.63,159.03,-50.4
pigeonpeas,91.96,132.68,-40.72
pigeonpeas,177.58,172.14,5.44
kidneybeans,104.78,96.44,8.34
maize,70.43,71.04,-0.6
jute,173.1,171.02,2.09
chickpea,94.78,86.66,8.12
apple,105.36,112.34,-6.98
orange,114.13,107.97,6.16
cotton,90.76,80.35,10.41
rice,208.58,211.76,-3.18
coconut,149.22,184.25,-35.03
grapes,74.08,71.92,2.16
lentil,37.11,45.49,-8.38
watermelon,43.53,56.2,-12.67
grapes,66.01,66.96,-0.95
grapes,65.7,70.34,-4.64
blackgram,71.37,66.78,4.59
pomegranate,109.44,106.92,2.53
chickpea,66.97,79.61,-12.64
coconut,156.77,167.85,-11.09
maize,108.76,79.47,29.29
lentil,42.72,45.85,-3.12
grapes,65.7,70.78,-5.07
watermelon,59.66,53.85,5.81
jute,155.39,175.99,-20.6
coffee,144.66,168.82,-24.16
coffee,190.23,187.79,2.43
kidneybeans,63.59,107.75,-44.15
jute,166.22,177.79,-11.58
mothbeans,41.54,59.11,-17.58
kidneybeans,82.69,90.72,-8.03
banana,107.39,105.34,2.05
kidneybeans,146.45,123.75,22.7
coconut,178.96,167.75,11.22
papaya,135.17,149.18,-14.01
papaya,141.34,169.16,-27.83
mungbean,55.04,47.21,7.83
mango,97.46,94.04,3.42
pomegranate,110.97,107.6,3.36
watermelon,57.74,57.65,0.09
kidneybeans,146.47,75.09,71.38
maize,62.91,83.89,-20.98
apple,121.66,113.38,8.29
blackgram,70.41,68.92,1.49
chickpea,76.33,81.86,-5.53
grapes,67.15,68.79,-1.64
grapes,69.87,69.29,0.57
banana,111.02,99.65,11.37
cotton,77.55,85.03,-7.48
rice,210.81,223.58,-12.76
pomegranate,109.42,108.69,0.73
mungbean,59.87,49.32,10.55
banana,119.09,105.87,13.21
jute,193.71,184.14,9.57
mungbean,48.57,47.55,1.02
maize,79.74,92.76,-13.02
chickpea,80.5,80.9,-0.4
chickpea,74.59,77.39,-2.8
chickpea,76.58,77.93,-1.35
apple,116.7,105.19,11.51
rice,217.38,222.19,-4.81
kidneybeans,120.69,117.81,2.88
papaya,63.69,136.01,-72.32
coffee,139.5,162.95,-23.45
blackgram,68.84,67.45,1.39
kidneybeans,104.63,95.11,9.52
mango,97.41,95.73,1.68
mango,96.24,98.34,-2.11
coconut,165.82,212.32,-46.49
papaya,197.4,159.72,37.68
apple,105.4,112.0,-6.6
chickpea,76.32,79.82,-3.5
pomegranate,112.19,109.06,3.13
chickpea,89.61,86.98,2.63
muskmelon,26.02,27.63,-1.61
apple,107.18,114.41,-7.23
muskmelon,23.5,25.64,-2.15
muskmelon,25.08,23.6,1.48
mango,100.31,94.97,5.33
mango,95.05,96.01,-0.96
cotton,93.51,90.39,3.12
coconut,145.42,157.03,-11.61
pomegranate,109.09,107.97,1.13
rice,265.54,243.79,21.74
muskmelon,20.76,21.45,-0.69
coffee,156.68,140.27,16.41
papaya,88.47,137.22,-48.76
mothbeans,36.92,42.44,-5.52
maize,79.85,99.9,-20.05
mango,90.3,96.34,-6.05
muskmelon,24.94,25.52,-0.59
pigeonpeas,91.31,157.48,-66.16
mungbean,56.69,56.77,-0.08
coffee,136.3,168.89,-32.59
grapes,66.34,66.92,-0.58
coconut,218.52,167.34,51.18
cotton,71.95,80.28,-8.33
pigeonpeas,150.87,172.51,-21.64
rice,269.5,227.08,42.42
apple,100.83,109.94,-9.11
pomegranate,107.61,106.49,1.12
coffee,181.42,175.21,6.21
chickpea,83.76,80.82,2.94
cotton,90.65,83.5,7.15
jute,176.53,180.19,-3.66
mango,89.59,93.55,-3.95
banana,91.46,104.14,-12.67
papaya,248.86,88.1,160.76
apple,118.68,113.15,5.53
chickpea,77.54,81.13,-3.59
rice,188.41,245.98,-57.57
pigeonpeas,94.47,115.13,-20.66
mothbeans,68.55,62.84,5.71
mungbean,38.8,47.03,-8.23
jute,171.49,168.78,2.71
pomegranate,109.81,106.11,3.7
grapes,70.08,68.29,1.8
mothbeans,74.44,55.0,19.45
jute,151.49,180.5,-29.0
maize,74.51,101.2,-26.68
coconut,209.85,187.91,21.93
maize,62.49,80.23,-17.74
chickpea,69.1,81.77,-12.68
banana,110.1,109.32,0.78
rice,182.56,251.88,-69.32
coconut,171.76,165.9,5.86
jute,190.56,162.75,27.81
mango,98.29,95.71,2.57
muskmelon,26.26,23.87,2.39
apple,124.98,105.46,19.53
banana,112.98,101.44,11.54
pigeonpeas,186.5,134.29,52.21
blackgram,68.02,66.59,1.44
orange,107.43,109.71,-2.28
chickpea,90.46,77.33,13.14
watermelon,43.88,47.05,-3.17
banana,93.1,109.22,-16.12
apple,111.78,106.89,4.88
chickpea,78.97,85.71,-6.75
coffee,147.28,139.56,7.72
pigeonpeas,108.51,157.96,-49.45
orange,115.36,114.67,0.68
apple,116.04,116.08,-0.04
coconut,172.48,174.09,-1.61
papaya,120.95,139.36,-18.41
watermelon,57.96,50.66,7.3
mothbeans,62.75,50.6,12.15
papaya,240.69,87.11,153.58
chickpea,93.55,80.19,13.36
pomegranate,108.68,105.49,3.19
chickpea,81.79,72.5,9.29
papaya,48.84,106.66,-57.82
lentil,53.15,44.3,8.84
apple,116.69,111.52,5.17
pomegranate,104.9,107.27,-2.38
chickpea,71.31,80.58,-9.27
mango,97.45,96.88,0.57
chickpea,81.71,83.34,-1.63
pomegranate,112.48,107.56,4.91
watermelon,46.77,53.25,-6.48
kidneybeans,103.29,98.23,5.06
mungbean,50.5,53.66,-3.16
muskmelon,22.52,25.87,-3.34
watermelon,58.98,53.48,5.5
kidneybeans,144.79,131.33,13.46
muskmelon,25.09,25.72,-0.62
mango,89.98,95.39,-5.41
rice,185.28,230.94,-45.66
blackgram,62.26,68.69,-6.43
chickpea,73.09,78.02,-4.93
banana,96.45,100.32,-3.87
blackgram,64.33,70.3,-5.97
pigeonpeas,175.93,166.48,9.45
papaya,104.42,161.31,-56.89
pigeonpeas,93.12,149.25,-56.13
mungbean,48.55,52.27,-3.72
coconut,171.63,166.09,5.54
cotton,65.02,79.58,-14.55
grapes,66.54,71.31,-4.77
apple,121.5,114.16,7.33
lentil,37.46,46.93,-9.47
banana,110.25,111.66,-1.41
jute,184.46,186.68,-2.21
apple,122.74,106.83,15.91
pomegranate,110.24,104.6,5.65
apple,123.6,117.68,5.92
mungbean,50.92,53.23,-2.3
muskmelon,25.16,24.85,0.31
coffee,161.89,156.05,5.85
coffee,192.43,171.46,20.97
pigeonpeas,147.04,144.74,2.3
jute,150.32,160.16,-9.85
kidneybeans,116.52,119.96,-3.44
banana,114.54,105.68,8.85
maize,102.09,82.92,19.17
jute,159.92,177.75,-17.83
maize,88.08,80.89,7.18
pigeonpeas,157.09,158.79,-1.7
mango,91.78,91.03,0.74
kidneybeans,115.2,97.55,17.65
pomegranate,104.44,107.62,-3.18
watermelon,50.56,50.03,0.53
blackgram,73.38,65.31,8.07
maize,63.72,90.9,-27.17
rice,280.4,243.12,37.28
mothbeans,33.84,59.16,-25.32
kidneybeans,143.86,104.54,39.32
mango,98.57,93.51,5.06
cotton,88.57,79.34,9.23
papaya,218.09,171.5,46.59
mothbeans,36.99,47.59,-10.59
cotton,89.8,80.8,9.0
mungbean,43.12,49.46,-6.34
orange,101.15,109.17,-8.02
jute,199.84,161.86,37.97
blackgram,65.82,72.09,-6.27
mungbean,45.04,49.76,-4.72
coffee,171.38,173.91,-2.53
banana,92.0,101.24,-9.24
pigeonpeas,180.38,159.71,20.67
papaya,234.85,182.36,52.49
apple,105.55,116.28,-10.73
pomegranate,106.92,108.92,-2.0
maize,67.1,83.86,-16.75
mango,98.01,96.18,1.82
coconut,181.69,183.2,-1.51
apple,102.72,117.52,-14.8
lentil,39.18,47.91,-8.73
jute,177.22,172.92,4.31
mothbeans,50.2,48.94,1.26
lentil,48.8,44.11,4.69
coconut,144.16,192.05,-47.89
blackgram,61.84,68.24,-6.4
jute,180.25,163.98,16.27
mungbean,36.95,51.06,-14.11
cotton,80.36,83.81,-3.45
watermelon,42.11,49.94,-7.83
apple,117.08,113.19,3.89
grapes,66.93,70.94,-4.01
coconut,189.67,174.58,15.09
grapes,67.13,66.66,0.47
watermelon,56.45,46.04,10.41
rice,202.38,218.93,-16.54
mango,93.0,92.4,0.6
mango,97.01,98.07,-1.05
coffee,147.8,180.23,-32.42
pomegranate,104.37,107.45,-3.07
banana,109.02,104.85,4.18
grapes,70.32,69.59,0.72
jute,185.26,185.34,-0.08
orange,109.75,105.61,4.14
cotton,66.19,82.85,-16.65
mango,93.75,94.17,-0.42
papaya,105.88,101.82,4.06
muskmelon,20.21,26.64,-6.43
mothbeans,44.12,47.57,-3.46
jute,175.57,170.62,4.95
chickpea,92.68,75.68,17.01
mothbeans,46.19,42.87,3.33
pomegranate,107.64,107.76,-0.12
watermelon,44.21,47.3,-3.1
mothbeans,64.16,44.3,19.86
cotton,84.13,80.49,3.63
papaya,197.53,123.35,74.18
watermelon,57.04,50.29,6.75
mothbeans,35.37,40.66,-5.29
rice,233.11,275.4,-42.29
coconut,205.57,158.75,46.82
mothbeans,43.88,44.51,-0.63
mothbeans,32.71,54.36,-21.65
maize,65.51,89.83,-24.32
rice,253.72,213.85,39.87
maize,97.59,89.57,8.02
coconut,224.4,193.86,30.54
orange,112.51,107.5,5.01
pomegranate,111.38,109.94,1.43
kidneybeans,132.98,92.2,40.78
watermelon,59.46,55.2,4.26
mungbean,51.53,48.1,3.43
blackgram,71.16,68.27,2.9
rice,277.96,228.69,49.28
rice,260.89,230.01,30.88
cotton,72.5,88.39,-15.89
cotton,67.08,78.96,-11.87
pigeonpeas,155.37,155.53,-0.16
